"RunPath","RelativePath","FileCount","HasResults","HasSummary","HasDiagnostics","HasSpec","LastWriteTime"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-21_00-29-45","2026-01-21_00-29-45","1","False","False","False","False","21-01-26 00:29:45"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-21_01-01-29","2026-01-21_01-01-29","2","True","False","False","False","21-01-26 01:23:03"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-21_10-59-49","2026-01-21_10-59-49","2","True","False","False","False","21-01-26 11:17:57"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-22_00-51-46","2026-01-22_00-51-46","7","True","True","False","True","22-01-26 01:09:36"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-22_13-38-57","2026-01-22_13-38-57","7","True","True","False","True","22-01-26 13:56:47"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-22_14-37-07","2026-01-22_14-37-07","1","False","False","False","False","22-01-26 14:37:07"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-22_15-27-38","2026-01-22_15-27-38","1","False","False","False","False","22-01-26 15:27:38"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy\run_2026-01-22_15-32-40","2026-01-22_15-32-40","7","True","True","False","True","22-01-26 15:47:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\V1_gamspy\run_2026-01-27_11-27-43","26-01-27_11-27-43","7","True","True","False","True","27-01-26 11:56:52"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\minimal_spec\2016_gamspy\run_2026-01-23_11-01-01","6_gamspy\run_2026-01-23_11-01-01","7","True","True","False","True","23-01-26 11:11:46"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy_fixed\run_2026-01-18_10-48-35","d\run_2026-01-18_10-48-35","1","False","False","False","False","18-01-26 10:48:35"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy_fixed\run_2026-01-18_10-50-19","d\run_2026-01-18_10-50-19","1","False","False","False","False","18-01-26 10:50:19"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy_fixed\run_2026-01-18_10-51-31","d\run_2026-01-18_10-51-31","1","False","False","False","False","18-01-26 10:51:31"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\2016_gamspy_fixed\run_2026-01-18_10-55-25","d\run_2026-01-18_10-55-25","7","True","True","False","True","18-01-26 11:13:49"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_choice_v0_id_enhanced\run_2026-02-05_14-48-48","gamspy\estimation_spec_job_choice_v0_id_enhanced\run_2026-02-05_14-48-48","7","True","True","False","True","20-02-26 11:02:29"
"\\crc\users\hisham\Desktop\Nizam_Hisham\MNL\outputs\estimates\fr\spec\job_choice\gamspy\estimation_spec_job_choice_v0_id_strict\run_2026-02-05_11-26-02","gamspy\estimation_spec_job_choice_v0_id_strict\run_2026-02-05_11-26-02","7","True","True","False","True","20-02-26 11:02:29"
