"Root","RelativePath","FullName","FileCount","SizeBytes","LastWriteTime"
"U:\EUROMOD-STORAGE","RURO1\enhanced_results1\post_estimation\fr\2016\joint","U:\EUROMOD-STORAGE\RURO1\enhanced_results1\post_estimation\fr\2016\joint","4","112172","06-12-25 15:58:19"
"U:\EUROMOD-STORAGE","RURO1\enhanced_results1\post_estimation\fr\2016\joint_full","U:\EUROMOD-STORAGE\RURO1\enhanced_results1\post_estimation\fr\2016\joint_full","4","124358","06-12-25 12:59:54"
"U:\EUROMOD-STORAGE","RURO1\enhanced_results1\post_estimation\fr\2016\joint_test","U:\EUROMOD-STORAGE\RURO1\enhanced_results1\post_estimation\fr\2016\joint_test","4","124357","06-12-25 13:08:36"
"U:\EUROMOD-STORAGE","RURO1\enhanced_results1\post_estimation\fr\2016\single_females","U:\EUROMOD-STORAGE\RURO1\enhanced_results1\post_estimation\fr\2016\single_females","2","39770","06-12-25 12:03:58"
"U:\EUROMOD-STORAGE","RURO1\enhanced_results1\post_estimation\fr\2016\single_males","U:\EUROMOD-STORAGE\RURO1\enhanced_results1\post_estimation\fr\2016\single_males","4","98774","06-12-25 12:20:16"
"U:\EUROMOD-STORAGE","RURO1\enhanced_results1\prep","U:\EUROMOD-STORAGE\RURO1\enhanced_results1\prep","54","1425884","06-12-25 18:56:20"
"U:\EUROMOD-STORAGE","RURO1\enhanced_results1\prep\fr","U:\EUROMOD-STORAGE\RURO1\enhanced_results1\prep\fr","54","1425884","06-12-25 03:16:45"
"U:\EUROMOD-STORAGE","RURO1\enhanced_results1\prep\fr\2016","U:\EUROMOD-STORAGE\RURO1\enhanced_results1\prep\fr\2016","54","1425884","06-12-25 03:17:03"
"U:\EUROMOD-STORAGE","RURO1\enhanced_results1\prep\fr\2016\plots","U:\EUROMOD-STORAGE\RURO1\enhanced_results1\prep\fr\2016\plots","50","1423737","06-12-25 08:57:04"
"U:\EUROMOD-STORAGE","RURO1\perpartion_2016","U:\EUROMOD-STORAGE\RURO1\perpartion_2016","65","1738467","05-12-25 20:30:45"
"U:\EUROMOD-STORAGE","RURO1\perpartion_2016\2016","U:\EUROMOD-STORAGE\RURO1\perpartion_2016\2016","65","1738467","05-12-25 20:30:45"
"U:\EUROMOD-STORAGE","RURO1\perpartion_2016\2016\plots","U:\EUROMOD-STORAGE\RURO1\perpartion_2016\2016\plots","61","1736320","05-12-25 20:29:52"
"U:\EUROMOD-STORAGE","RURO1\try1","U:\EUROMOD-STORAGE\RURO1\try1","101","943267717","01-12-25 17:14:12"
"U:\EUROMOD-STORAGE","RURO1\try1\outputs","U:\EUROMOD-STORAGE\RURO1\try1\outputs","86","1384751","01-12-25 11:02:14"
"U:\EUROMOD-STORAGE","RURO1\try1\outputs\plots","U:\EUROMOD-STORAGE\RURO1\try1\outputs\plots","82","1379877","03-12-25 10:33:55"
"U:\EUROMOD-STORAGE","RURO1\try2","U:\EUROMOD-STORAGE\RURO1\try2","98","794911791","01-12-25 19:27:25"
"U:\EUROMOD-STORAGE","RURO1\try2\2021","U:\EUROMOD-STORAGE\RURO1\try2\2021","98","794911791","01-12-25 19:27:25"
"U:\EUROMOD-STORAGE","RURO1\try2\2021\outputs","U:\EUROMOD-STORAGE\RURO1\try2\2021\outputs","85","1370927","01-12-25 17:15:57"
"U:\EUROMOD-STORAGE","RURO1\try2\2021\outputs\plots","U:\EUROMOD-STORAGE\RURO1\try2\2021\outputs\plots","81","1366053","01-12-25 17:16:06"
"U:\EUROMOD-STORAGE","RURO1\try3","U:\EUROMOD-STORAGE\RURO1\try3","101","3703701364","03-12-25 10:36:16"
"U:\EUROMOD-STORAGE","RURO1\try3\2021","U:\EUROMOD-STORAGE\RURO1\try3\2021","101","3703701364","03-12-25 10:36:16"
"U:\EUROMOD-STORAGE","RURO1\try3\2021\outputs","U:\EUROMOD-STORAGE\RURO1\try3\2021\outputs","85","1370927","02-12-25 22:12:14"
"U:\EUROMOD-STORAGE","RURO1\try3\2021\outputs\plots","U:\EUROMOD-STORAGE\RURO1\try3\2021\outputs\plots","81","1366053","02-12-25 22:12:23"
"U:\EUROMOD-STORAGE","RURO1\try4","U:\EUROMOD-STORAGE\RURO1\try4","98","249878631","03-12-25 17:31:17"
"U:\EUROMOD-STORAGE","RURO1\try4\2021","U:\EUROMOD-STORAGE\RURO1\try4\2021","98","249878631","03-12-25 17:31:17"
"U:\EUROMOD-STORAGE","RURO1\try4\2021\outputs","U:\EUROMOD-STORAGE\RURO1\try4\2021\outputs","85","1370927","03-12-25 10:41:05"
"U:\EUROMOD-STORAGE","RURO1\try4\2021\outputs\plots","U:\EUROMOD-STORAGE\RURO1\try4\2021\outputs\plots","81","1366053","03-12-25 10:41:14"
"Z:\Hisham\EUROMOD-STORAGE","Data\processed\fr\2016\job_model","Z:\Hisham\EUROMOD-STORAGE\Data\processed\fr\2016\job_model","2","16989","04-02-26 16:01:23"
"Z:\Hisham\EUROMOD-STORAGE","Data\processed\fr\2016\job_model\euromod_scenarios","Z:\Hisham\EUROMOD-STORAGE\Data\processed\fr\2016\job_model\euromod_scenarios","0","0","03-02-26 21:35:05"
"Z:\Hisham\EUROMOD-STORAGE","Data\processed\fr\2016\job_model_gmm","Z:\Hisham\EUROMOD-STORAGE\Data\processed\fr\2016\job_model_gmm","3","39197","08-02-26 21:43:18"
"Z:\Hisham\EUROMOD-STORAGE","interim\ruro","Z:\Hisham\EUROMOD-STORAGE\interim\ruro","7","1218654893","04-02-26 16:01:51"
"Z:\Hisham\EUROMOD-STORAGE","interim\ruro\fr","Z:\Hisham\EUROMOD-STORAGE\interim\ruro\fr","7","1218654893","04-02-26 16:01:54"
"Z:\Hisham\EUROMOD-STORAGE","interim\ruro\fr\2016","Z:\Hisham\EUROMOD-STORAGE\interim\ruro\fr\2016","4","664302042","08-02-26 21:56:18"
"Z:\Hisham\EUROMOD-STORAGE","interim\ruro\fr\2016\job_model","Z:\Hisham\EUROMOD-STORAGE\interim\ruro\fr\2016\job_model","2","206452697","04-02-26 16:01:51"
"Z:\Hisham\EUROMOD-STORAGE","interim\ruro\fr\2016\job_model\scenarios","Z:\Hisham\EUROMOD-STORAGE\interim\ruro\fr\2016\job_model\scenarios","2","206452697","04-02-26 16:01:52"
"Z:\Hisham\EUROMOD-STORAGE","interim\ruro\fr\2016\job_model_gmm","Z:\Hisham\EUROMOD-STORAGE\interim\ruro\fr\2016\job_model_gmm","2","457849345","08-02-26 21:56:18"
"Z:\Hisham\EUROMOD-STORAGE","interim\ruro\fr\2016\job_model_gmm\scenarios","Z:\Hisham\EUROMOD-STORAGE\interim\ruro\fr\2016\job_model_gmm\scenarios","2","457849345","08-02-26 21:59:20"
"Z:\Hisham\EUROMOD-STORAGE","interim\ruro\fr\scenarios_2016","Z:\Hisham\EUROMOD-STORAGE\interim\ruro\fr\scenarios_2016","2","487843115","04-02-26 16:01:54"
"Z:\Hisham\EUROMOD-STORAGE","interim\ruro\fr\scenarios_2016_reduced","Z:\Hisham\EUROMOD-STORAGE\interim\ruro\fr\scenarios_2016_reduced","1","66509736","04-02-26 16:01:54"
"Z:\Hisham\EUROMOD-STORAGE","old_Data_results\detailed_estimates","Z:\Hisham\EUROMOD-STORAGE\old_Data_results\detailed_estimates","134","9355427","04-02-26 16:02:00"
"Z:\Hisham\EUROMOD-STORAGE","old_Data_results\detailed_estimates\v2_backward_compat_test","Z:\Hisham\EUROMOD-STORAGE\old_Data_results\detailed_estimates\v2_backward_compat_test","8","549990","04-02-26 16:01:59"
"Z:\Hisham\EUROMOD-STORAGE","old_Data_results\detailed_estimates\v2_cleaned","Z:\Hisham\EUROMOD-STORAGE\old_Data_results\detailed_estimates\v2_cleaned","15","1035478","04-02-26 16:01:59"
"Z:\Hisham\EUROMOD-STORAGE","old_Data_results\detailed_estimates\v2_contours_test","Z:\Hisham\EUROMOD-STORAGE\old_Data_results\detailed_estimates\v2_contours_test","16","1280610","04-02-26 16:01:59"
