param,beta_l0_sm,beta_l_age_sm,beta_l_age2_sm,theta_l_sm,beta_l0_sf,beta_l_age_sf,beta_l_age2_sf,beta_l_nkids_sf,theta_l_sf,theta_c_singles,beta_E,beta_h_pt1,beta_h_pt2,beta_h_ft,beta_h_lh,beta_E_gsur,beta_E_drgn2,beta_E_drgn3,beta_E_drgn4,beta_E_drgn5,beta_E_drgn6,beta_E_drgn7,beta_E_drgn8,beta_E_drgur,beta_E_drgmd,beta_occ_2_m,beta_occ_3_m,beta_occ_4_m,beta_occ_2_f,beta_occ_3_f,beta_occ_4_f,beta_w0,beta_w_educL,beta_w_educH,beta_w_pexp,beta_w_pexp2,sigma
beta_E,-1.7223252906057107,0.05634932579148425,-1.901362515401079,-12.532121160580209,-1.899140189565724,-0.1273510570917381,-1.9174100812548684,-1.3846750632165659,-28.45391074061032,-79.53195976755444,159.9745791847326,5.304261450123519,4.2018354814604555,49.93723428309142,27.147034657419926,171.28010036800822,25.651097115821504,13.641257936675617,15.807706018084263,26.96848722955852,19.612653022493014,17.55708400591525,20.72460256322377,85.0367951818067,33.4540296604045,8.544770181557007,4.755303983814119,37.378695026360035,15.621977919808103,10.838597472136666,35.18738575363179,116.74208939029447,28.827040448364066,26.83873734965617,113.86349859113909,147.5799408400242,34.09312424851153
beta_h_pt1,0.2497629115081368,-0.010823995960195192,0.26803784028552635,1.5860215620977143,0.38953518276128585,0.030145446153498026,0.3955383914344686,0.2165345378706439,4.936328399236122,-1.2429953630983415,5.304261450123521,39.3507420743519,-0.9025822598531257,-11.345878427210629,-5.869410984764297,5.748777365812823,0.781425531393543,0.4746125393956956,0.6101068293105241,0.8854396126938576,0.6853674943465711,0.5884158818405663,0.6414076486044153,2.7997653784584307,1.1211127923528486,0.2569655742715764,0.08771866344471405,1.362592297289864,0.522783256549371,0.265345715092609,1.629734835776577,-1.6666936596358577,-0.25718291837008744,-0.9485780685734732,-1.629107639643958,-1.4786725807501786,-2.497370254683898
beta_h_pt2,0.16742936901763023,-0.00015569723883974334,0.16834768990588542,0.882445786325972,0.20007429175880115,0.04111179856238137,0.1870429164970127,0.10463328739285455,1.9851111187013493,-3.195074486949037,4.201835481460455,-0.9025822598531259,32.43180112573208,-9.376948650417692,-4.895393264543984,4.489426015143437,0.6350958664678154,0.35920777649870755,0.35645075692020733,0.8293464759357315,0.4302327747807802,0.4226094538813404,0.5499848777288046,2.2268590659316456,0.9458210638703823,0.14462736496351544,0.19327728500989183,0.8630903943733632,0.7283791916788005,0.3261163247642321,0.9741339335990746,-1.3317487968352661,1.3323970171006552,0.423097540595876,-2.39240167006503,-4.748683921749395,3.9044470559508326
beta_h_ft,1.1874034058638392,-0.00978763275122173,1.0686664881908952,2.5527333809271475,0.1642997264095568,0.3006339385939661,0.011569695864372474,-0.29466824358962684,-9.536941333478378,-43.32253252949187,49.93723428309143,-11.345878427210629,-9.37694865041769,287.96820464151676,-60.22560411398371,53.05492941576296,8.153489969889023,4.120823221289895,4.800712173406585,8.574387334672958,6.158867841994027,5.490079878955887,6.367784216475112,26.471895560891863,10.33659158471627,1.4736178351519202,1.509336278033939,12.295615011798477,5.08907094476098,5.281317430295771,10.075902869590603,46.26763621704933,11.222059297360474,16.82504550983667,38.519913185839584,44.45627139978421,30.292900447901303
beta_h_lh,-5.982281801365689,0.26458242609175325,-6.187282605395146,-31.543749767036452,-5.816373090054901,-1.0712255442528718,-5.615894415263882,-3.0296896707253627,-59.25403651850587,-13.37523949068987,27.147034657419923,-5.869410984764297,-4.895393264543984,-60.22560411398372,181.649267533227,28.845049174300634,4.382047478565692,2.268398258515373,2.542014381025181,4.618566891131328,3.608485144965819,2.9409988202725628,3.3442222237570607,14.480565362096979,5.607152347855699,2.190433324800662,0.916344661224638,7.02731164994612,1.8794872961517028,1.2906032171634443,4.358893229184943,48.30669022850826,8.06012686241505,20.800477229007477,46.56320902153345,57.85842928213199,16.79215803381088
beta_E_gsur,-1.8725777360245046,-0.07398671904172327,-2.0550620605094876,-13.719484948742581,-1.9618218828582163,-0.23505362129398844,-2.0108059272537178,-1.4136117578550884,-29.29558141054614,-86.88207208607373,171.28010036800825,5.748777365812822,4.489426015143437,53.05492941576296,28.845049174300634,210.95475523404323,27.507223164965367,20.362107819137425,16.78445297147914,25.28503932400607,18.33954125820722,16.823342305846424,26.548540572705186,92.24323752970876,36.50714839737215,9.442403737654974,5.301341236185736,40.11753820499459,16.65068694667177,11.284517349842279,35.36750091379772,126.4012266264402,47.693005539814266,17.076283078838692,126.05006608196385,166.4575979984234,37.424682380603414
beta_E_drgn2,-0.2977917187444333,-0.024245886199637398,-0.31763716242434037,-2.174995838465503,-0.2784739598183854,-0.05076511228912388,-0.29566501873464157,-0.17522099345252046,-4.041937375193134,-13.184599401240485,25.651097115821504,0.781425531393543,0.6350958664678156,8.153489969889023,4.382047478565691,27.507223164965367,25.651097115821504,0.0,0.0,0.0,0.0,0.0,0.0,9.684554309539248,7.822552608093454,1.5115622951177095,0.774617250674959,6.508538261654767,2.439270169613414,1.5643953957902914,4.931832954809558,19.662450340522213,4.863415595148725,3.1894722844056007,20.50125865903607,28.713501259925984,6.771523584410308
beta_E_drgn3,-0.12897263206612292,0.02228607273603437,-0.16552194978728263,-0.9644801614162939,-0.17976569643124285,0.01271997662484095,-0.1738659389208526,-0.12802895774294998,-2.7330376741439912,-6.75102475708067,13.641257936675617,0.4746125393956956,0.3592077764987076,4.1208232212898945,2.268398258515373,20.36210781913742,0.0,13.641257936675617,0.0,0.0,0.0,0.0,0.0,9.176593127237734,3.5386416395674396,0.585946785673455,0.3382636270226232,3.0108852226850153,1.5642258328468763,1.0764262902815305,3.100747198186011,8.510122348482085,2.2152865473294523,1.8260362978861808,7.549030222405863,9.152991381288128,0.6938484706957214
beta_E_drgn4,-0.137662750462058,0.03860123965594118,-0.14982020850321714,-0.9970847192877875,-0.22229310103232727,-0.027918147712856525,-0.19624750551127246,-0.1717364098249936,-3.2617314305765115,-9.048884465179379,15.807706018084263,0.610106829310524,0.35645075692020733,4.800712173406584,2.5420143810251807,16.78445297147914,0.0,0.0,15.807706018084263,0.0,0.0,0.0,0.0,7.018598544623327,4.0190563098094865,0.6805093677348893,0.41757145053440603,3.0709048650084148,1.7963631040676582,1.2995362238249766,4.151784749690055,11.716675628735755,2.4663626126898275,3.2761878296759095,9.99343917355687,11.749988520772867,5.912950161113323
beta_E_drgn5,-0.33106807543192424,0.026765484379255616,-0.37135903869985115,-2.4276732177003812,-0.2652556341052487,0.0496620960166824,-0.30890026364505346,-0.18123779686117175,-4.109288495613909,-13.585699215444425,26.96848722955852,0.8854396126938575,0.8293464759357312,8.574387334672956,4.618566891131328,25.28503932400607,0.0,0.0,0.0,26.96848722955852,0.0,0.0,0.0,11.57418660379583,2.910140321484911,1.800126480449633,0.9206527592940319,7.048019964769173,2.165148024072365,1.5730976983356528,4.887833031308182,20.078821991886223,4.449924152595523,3.7119062145826436,19.115869887671835,24.50481076975452,5.2008750187832895
