kind,old_path,new_path,n_content_subs,warnings
content,outputs/post_estimation/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_14-28-31/fr_2016_ruro_occ_gamspy_post_estimation_report_20260513_142852.html,outputs/post_estimation/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_14-28-31/fr_2016_ruro_occ_gamspy_post_estimation_report_20260513_142852.html,29,
content,outputs/post_estimation/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_14-30-17/fr_2016_ruro_occ_gamspy_post_estimation_report_20260513_143037.html,outputs/post_estimation/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_14-30-17/fr_2016_ruro_occ_gamspy_post_estimation_report_20260513_143037.html,29,
content,outputs/post_estimation/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_14-47-45/fr_2016_ruro_occ_gamspy_post_estimation_report_20260513_144805.html,outputs/post_estimation/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_14-47-45/fr_2016_ruro_occ_gamspy_post_estimation_report_20260513_144805.html,29,
content,outputs/post_estimation/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_15-09-17/fr_2016_ruro_occ_gamspy_post_estimation_report_20260513_150938.html,outputs/post_estimation/fr/spec/ruro_occ/gamspy/estimation_spec_ruro_occ_M0/run_2026-05-13_15-09-17/fr_2016_ruro_occ_gamspy_post_estimation_report_20260513_150938.html,29,
content,scripts/maintenance/rename_stijn_to_ruro.py,scripts/maintenance/rename_stijn_to_ruro.py,59,scripts/maintenance/rename_stijn_to_ruro.py:11 contains 'Stijn Van Houtven' citation — line preserved verbatim | scripts/maintenance/rename_stijn_to_ruro.py:128 contains 'Stijn Van Houtven' citation — line preserved verbatim
content,scripts/archive/old_ruro_pre_enhanced/RURO_boxcox_group_opportunities.py,scripts/archive/old_ruro_pre_enhanced/RURO_boxcox_group_opportunities.py,1,
rename,docs/RURO_model_spec_contract_v2_continuous_enhanced.md,docs/RURO_model_spec_contract_v2_continuous_enhanced.md,,
rename,docs/RURO_model_spec_contract_v3_ruro_occ.md,docs/RURO_model_spec_contract_v3_ruro_occ.md,,
rename,docs/RURO_model_spec_contract_v4_ruro_occ.md,docs/RURO_model_spec_contract_v4_ruro_occ.md,,
rename,docs/RURO_R_REFERENCE_COMPARISON_AND_ACTION_PLAN.md,docs/RURO_R_REFERENCE_COMPARISON_AND_ACTION_PLAN.md,,
