,beta_l0_sm,beta_l_age_sm,theta_l_sm,beta_l0_sf,beta_l_age_sf,beta_l_nkids_sf,theta_l_sf,theta_c_singles,beta_E,beta_h_pt1,beta_h_pt2,beta_h_ft,beta_h_lh,beta_E_gsur,beta_E_drgn2,beta_E_drgn3,beta_E_drgn4,beta_E_drgn5,beta_E_drgn6,beta_E_drgn7,beta_E_drgn8,beta_E_drgur,beta_E_drgmd,beta_occ_2_m,beta_occ_3_m,beta_occ_4_m,beta_occ_2_f,beta_occ_3_f,beta_occ_4_f,beta_w0,beta_w_educL,beta_w_educH,beta_w_pexp,beta_w_pexp2,sigma
beta_E_drgn8,0.0015859054981192688,0.0025110335869634277,-0.00038529750021830362,0.0037805033429125553,-0.0045909797637674523,-0.0081837624056369344,0.00033844183268341162,2.9725997460216502e-05,-0.045132791501164921,6.6614228332035472e-05,0.00016702179611262295,4.9286553056816776e-05,0.00012246774620060623,-0.013185082473384903,0.055156007483625862,0.058242125469472154,0.05458076971896586,0.053450417245512742,0.052885135428520476,0.053003122857850728,0.10438426874627565,0.0088039976142481949,0.0026547246341809207,4.6803473104325422e-05,-0.00010899218065453457,2.2725893495013477e-05,-0.00023184200186783893,0.00013073092095004777,-0.00018591643082801725,5.4286885897244833e-05,0.000147195526561199,-2.0388867060849184e-05,-0.00011644744148087623,3.8341242255131494e-05,7.3204574564383574e-07
beta_E_drgur,0.0012490434586266937,-0.0023907773426166288,-0.0004931853293870601,0.00032222299723020807,0.00034355633968427139,-0.0049958143729955159,0.00041984705304370419,-9.9910862701439282e-05,-0.038401769036729774,1.3921988025793456e-06,-1.278304439491234e-05,1.9467701963635763e-05,1.9709066712087122e-05,-0.00010634291077511035,0.015096467881849304,0.0044256010970818872,0.013808120417809105,0.018218650057640184,0.013920978055763499,0.012196442333638353,0.0088039976142481949,0.040587583534972688,0.026615300753690462,0.00012669617001312967,0.000221887953954946,0.00014682323104436309,-0.0003646273377304196,-0.00029282403221252655,-0.00031801446918818579,-3.106176925504819e-05,-0.00013077685179898105,-3.0541304128268194e-05,7.9352294060395427e-05,-2.1959000683756289e-05,2.8135911939581571e-06
beta_E_drgmd,0.0015665995801553299,-0.003556457815577457,-0.00073999633252388498,0.00048482451363547743,0.00014909169722475754,-0.0051638839998702172,0.00046845799419771643,-3.42343402422297e-05,-0.028378557478834051,-5.6805086331652192e-06,-0.00012229741815592414,3.2925469508019445e-05,2.4068841285654853e-05,-0.00046362562298578303,0.0015586829837052328,-0.0034512678505213379,0.002746482813888292,0.011299807252756764,0.0036378461747300535,6.6081139724177533e-05,0.0026547246341809216,0.026615300753690462,0.056769412662133756,0.00015780814549595603,0.00024105912605629437,0.0001782163514722064,-0.00034379213836661059,-0.00037649460009004867,-0.00035119386849977668,-3.7672248658981665e-05,-7.6057416776116826e-05,3.887744429500185e-06,2.2574094390880722e-06,2.1093891665724386e-05,7.7918631246554158e-06
beta_occ_2_m,-0.0014323823486416152,0.00048658354925397174,0.00081212907500081576,0.0054496795620342132,-0.0017713413327554838,0.0012488014394530299,-0.0013776725226564933,5.2734886642220866e-05,-0.0023322170644112434,6.619912306001466e-05,5.8404897615531293e-05,-7.9893260683273111e-07,-0.00024904409609682133,-0.00030878863346417299,-0.00026464095290523005,0.00022632210473946953,0.00017992371647578849,-0.00046459677271359055,-0.0002604934582193714,-0.00012263643469172863,4.6803473104325443e-05,0.00012669617001312964,0.000157808145495956,0.021602224817391356,0.0042047486028288367,0.0042239131564287694,0.00092622728299076944,0.00091724699362468604,0.00090823750173782717,-4.2840874833658616e-05,1.5500069921543846e-05,-2.1386894573831775e-06,0.00012992916103788548,-6.0232793870779643e-05,6.3547744766762981e-06
beta_occ_3_m,-0.000217424942350844,-0.0012877604137219692,0.00043149515093869817,0.0059896095144605158,-0.0018871882686131241,0.0012365089180134817,-0.0014397921202277508,7.1945695619592516e-05,-0.0024287191194705088,8.420809051279537e-05,-7.2507012222715382e-05,-8.3082812265222885e-05,-0.00024968746487135339,-0.00031198878508305566,-0.00013015224968647058,0.0002308600823972775,0.00016386675318455802,-0.00030199853782275117,-0.00015760856142423477,-2.505202425332341e-05,-0.00010899218065453447,0.00022188795395494603,0.00024105912605629432,0.0042047486028288367,0.03583510995561151,0.0042422955314549964,0.00093909437989783782,0.00093335435103583349,0.00093685875624835717,6.5683744458257641e-05,2.1045548910651855e-05,1.7028159293514611e-05,-0.00021583791509930086,8.9833820645119464e-05,-2.8378307109697981e-07
beta_occ_4_m,-0.0016784299331987238,0.00084717054253203368,0.00076650631703904109,0.0058259429907638449,-0.001773451491906999,0.0012688537897137401,-0.0013927745342031735,7.4377877949866273e-05,-0.0025357525351116083,1.0551351758607069e-05,-1.2908345706745855e-06,-7.8931617161490702e-05,-0.00022359638184112518,-5.5065399542997769e-05,-0.00021522210146575902,-1.4138528069030458e-06,0.00018053698064803047,-0.00027511569453212532,-0.00032505053249514364,1.5351880856916653e-05,2.2725893495013518e-05,0.00014682323104436311,0.00017821635147220635,0.0042239131564287694,0.0042422955314549956,0.0080502125088878097,0.00091281209758836343,0.00091583683246313299,0.00092937430712977708,-8.8624882488056356e-05,3.6732964052029795e-05,1.9051310165491182e-05,8.3605133104312277e-05,-4.599875454669327e-05,-3.7010040239087508e-06
beta_occ_2_f,0.0024725442650158705,-0.00078351464085492243,-0.0012026712323934567,-0.0094966169754101704,0.0018969301003601013,-0.0025248440289960148,0.002273115119030238,-6.5738504097086827e-05,-0.0039922770982909828,-0.00013011922242354751,-0.00012929846176146936,9.9587863431372983e-05,0.00040740462256210071,0.0008007335142377086,0.00027324818610314312,-0.00042204915789431624,-0.00034835440471574745,0.00058778247035174065,0.00053372650347662789,0.00010029833331482415,-0.00023184200186783879,-0.00036462733773041955,-0.00034379213836661059,0.00092622728299076944,0.00093909437989783771,0.00091281209758836321,0.013585114284462461,0.0059817301778255401,0.0060337641047774797,2.9215452782791557e-05,5.389552849096513e-06,8.4134698352062533e-06,-3.9043605866266952e-05,1.6690872399868428e-05,-2.6152214021559285e-06
beta_occ_3_f,0.0025754528685537651,-0.00072565430427964418,-0.0012003981707683087,-0.0094512925194036642,0.0022622179682650631,-0.0018450690509602306,0.0022688472471864237,-6.7281715575987755e-05,-0.0042883341413799958,-0.00013693864151253864,-9.9995670012500173e-05,3.0781518441530343e-05,0.0004034461783283483,0.0009038848610252501,0.00056085782764194012,-0.00024592867733275452,-0.00015437040323691754,0.00079473788780052353,0.00079159812200812335,0.00033419058074162303,0.00013073092095004787,-0.00029282403221252661,-0.00037649460009004878,0.00091724699362468625,0.00093335435103583317,0.00091583683246313288,0.005981730177825541,0.016637619828872217,0.0060885732171618674,-4.884484696773175e-05,-3.109943513867529e-05,1.5418164363489897e-05,2.2252810085258896e-05,2.6471425920434206e-06,1.1522714247826623e-05
beta_occ_4_f,0.0024604517215284722,-0.00069928499758810186,-0.0011644815417745146,-0.0095307058256338274,0.0031261926656032972,-0.0025624609048491001,0.0022842683872876936,-6.6874946023403315e-05,-0.0043598646460235686,-0.0001651106231905768,-5.5696161304562965e-05,0.00012718284508451286,0.00044251360467318344,0.0011031012946382092,0.00043374858190045173,-0.00038258764690082744,-0.00027792860903549742,0.00070267111939094579,0.00062625288771090348,0.00015325428396436723,-0.00018591643082801711,-0.00031801446918818568,-0.00035119386849977668,0.00090823750173782739,0.00093685875624835695,0.00092937430712977697,0.0060337641047774797,0.0060885732171618665,0.0092805292445330284,-6.3510744346649225e-05,-5.0476630345942661e-05,5.092687552345432e-06,8.7328744437940726e-06,5.3319671118019799e-06,-6.4074779574287516e-06
beta_w0,-0.00064822596884086473,-0.00024095432168813133,6.0299745053645962e-05,0.00037351834646586293,-0.00063727563269862285,-0.00028293199451697403,-4.3052012796474425e-05,0.00011018402817010209,-6.9966288348122764e-05,8.4246177176257308e-06,8.2572535576039472e-05,-1.574283055847082e-06,-3.0098650507641913e-05,3.5857260666170566e-05,-8.8469106838386007e-05,-5.3791066965124493e-05,-6.2519916245430779e-05,-7.601089784586173e-05,-1.6634918623669273e-05,-4.3834791783463617e-05,5.4286885897244826e-05,-3.1061769255048203e-05,-3.7672248658981658e-05,-4.284087483365886e-05,6.5683744458257547e-05,-8.8624882488056423e-05,2.9215452782791526e-05,-4.884484696773175e-05,-6.3510744346649117e-05,0.0018526540320640853,-0.00037894347999678794,-0.000420226579850371,-0.0029450328552256778,0.0011631360310446963,-5.3785714897910341e-05
