sheet,variable,label,description,monetary_variable,applicable_observations,weighted_number,weighted_mean,weighted_sd,min,max
expenditure shares,xs12531,EXPENDITURE SHARE: Insurance connected with health,12531 : 12 Miscellaneous goods and services - 5 Insurance - 3 Insurance connected with health - 1 Insurance connected with health,0,7482,63155144.39457703,0.017819618495109997,0.01419023466580489,0,0.07924725115299225
expenditure shares,xs12541,EXPENDITURE SHARE: Insurance connected with transport,12541 : 12 Miscellaneous goods and services - 5 Insurance - 4 Insurance connected with transport - 1 Insurance connected with transport,0,7482,63155144.39457703,0.013561481921566717,0.010795846518166424,0,0.06851891428232193
expenditure shares,xs12551,EXPENDITURE SHARE: Other insurance,12551 : 12 Miscellaneous goods and services - 5 Insurance - 5 Other insurance - 1 Other insurance,0,7482,63155144.39457703,0.003082733731040254,0.006778002064026014,0,0.07718183845281601
expenditure shares,xs12621,EXPENDITURE SHARE: Financial services n.e.c.,12621 : 12 Miscellaneous goods and services - 6 Financial services n.e.c. - 2 Financial services n.e.c. - 1 Financial services n.e.c.,0,7482,63155144.39457703,0.002711848366626493,0.0020083428150291767,0,0.016468103975057602
expenditure shares,xs12711,EXPENDITURE SHARE: Other services n.e.c.,12711: 12 Miscellaneous goods and services - 7 Other services n.e.c. - 1 Other services n.e.c. - 1 Other services n.e.c.,0,7482,63155144.39457703,0.01896508180237479,0.06394144133660898,0,0.5663609504699707
expenditures,xed00,EXPENDITURE: Education,expenditure for education,1,0,0,0,0,0,0
expenditures,xhc,EXPENDITURE : Housing cost,total housing cost,1,2397,30604712.67250061,610.755615234375,0,610.755615234375,610.755615234375
expenditures,xhcmomi,EXPENDITURE : Housing cost : Mortgage Interest,interest repayments on mortgage,1,0,0,0,0,0,0
expenditures,xhcot,EXPENDITURE : Housing cost : Other,other housing costs,1,0,0,0,0,0,0
expenditures,xhcrt,EXPENDITURE : Housing cost : Rent,current rent related to occupied dwelling,1,2397,30604712.67250061,610.755615234375,0,610.755615234375,610.755615234375
