DATAFLOW	LAST UPDATE	freq	isced11	sex	age	unit	geo	TIME_PERIOD	OBS_VALUE	OBS_FLAG	CONF_STATUS
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y35-44	THS_PER	FRH0	2014	22.7		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y35-44	THS_PER	FRI1	2014	24.9		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y35-44	THS_PER	FRI2	2014	5.3	u	
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y35-44	THS_PER	FRI3	2014	21.7		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y35-44	THS_PER	FRJ1	2014	25.5		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y35-44	THS_PER	FRJ2	2014	20.1		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y35-44	THS_PER	FRK1	2014	14.9		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y35-44	THS_PER	FRK2	2014	56.1		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y35-44	THS_PER	FRL0	2014	55.1		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y35-44	THS_PER	FRM0	2014	3.4	u	
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y45-54	THS_PER	FR10	2014	215.1		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y45-54	THS_PER	FRB0	2014	52.6		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y45-54	THS_PER	FRC1	2014	30.0		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y45-54	THS_PER	FRC2	2014	21.0		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y45-54	THS_PER	FRD1	2014	28.2		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y45-54	THS_PER	FRD2	2014	43.6		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y45-54	THS_PER	FRE1	2014	83.2		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y45-54	THS_PER	FRE2	2014	62.1		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y45-54	THS_PER	FRF1	2014	34.5		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y45-54	THS_PER	FRF2	2014	31.5		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y45-54	THS_PER	FRF3	2014	42.1		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y45-54	THS_PER	FRG0	2014	57.7		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y45-54	THS_PER	FRH0	2014	39.4		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y45-54	THS_PER	FRI1	2014	54.4		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y45-54	THS_PER	FRI2	2014	10.5		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y45-54	THS_PER	FRI3	2014	27.5		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y45-54	THS_PER	FRJ1	2014	55.5		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y45-54	THS_PER	FRJ2	2014	38.4		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y45-54	THS_PER	FRK1	2014	23.3		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y45-54	THS_PER	FRK2	2014	93.6		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y45-54	THS_PER	FRL0	2014	99.6		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y45-54	THS_PER	FRM0	2014	2.9	u	
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y55-64	THS_PER	FR10	2014	265.2		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y55-64	THS_PER	FRB0	2014	83.8		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y55-64	THS_PER	FRC1	2014	57.3		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y55-64	THS_PER	FRC2	2014	33.5		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y55-64	THS_PER	FRD1	2014	56.2		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y55-64	THS_PER	FRD2	2014	57.4		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y55-64	THS_PER	FRE1	2014	137.4		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y55-64	THS_PER	FRE2	2014	61.4		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y55-64	THS_PER	FRF1	2014	48.2		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y55-64	THS_PER	FRF2	2014	44.8		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y55-64	THS_PER	FRF3	2014	58.9		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y55-64	THS_PER	FRG0	2014	100.6		
ESTAT:LFST_R_LFSD2POP(1.0)	17/04/26 11:00:00	A	ED0-2	F	Y55-64	THS_PER	FRH0	2014	65.0		
