year,drgn1,region_code,region_name,dgn,sex,education,educ_code,educ3,gsur,age_group_used,region_key
2008,0,FR,France,0,F,ED5-8,educH,2,0.045,Y20-64,0
2008,0,FR,France,0,F,TOTAL,educALL,-1,0.076,Y20-64,0
2008,0,FR,France,1,M,ED0-2,educL,0,0.11,Y20-64,0
2008,0,FR,France,1,M,ED3_4,educM,1,0.057999999999999996,Y20-64,0
2008,0,FR,France,1,M,ED5-8,educH,2,0.040999999999999995,Y20-64,0
2008,0,FR,France,1,M,TOTAL,educALL,-1,0.067,Y20-64,0
2008,1,FR1,Ile de France,0,F,ED0-2,educL,0,0.09300000000000001,Y20-64,1
2008,1,FR1,Ile de France,0,F,ED3_4,educM,1,0.053,Y20-64,1
2008,1,FR1,Ile de France,0,F,ED5-8,educH,2,0.044000000000000004,Y20-64,1
2008,1,FR1,Ile de France,0,F,TOTAL,educALL,-1,0.057,Y20-64,1
2008,1,FR1,Ile de France,1,M,ED0-2,educL,0,0.10800000000000001,Y20-64,1
2008,1,FR1,Ile de France,1,M,ED3_4,educM,1,0.075,Y20-64,1
2008,1,FR1,Ile de France,1,M,ED5-8,educH,2,0.049,Y20-64,1
2008,1,FR1,Ile de France,1,M,TOTAL,educALL,-1,0.07400000000000001,Y20-64,1
2008,2,FRB,Centre — Val de Loire,0,F,ED0-2,educL,0,0.092,Y20-64,2
2008,2,FRB,Centre — Val de Loire,0,F,ED3_4,educM,1,0.047,Y20-64,2
2008,2,FRB,Centre — Val de Loire,0,F,ED5-8,educH,2,,Y20-64,2
2008,2,FRB,Centre — Val de Loire,0,F,TOTAL,educALL,-1,0.062,Y20-64,2
2008,2,FRB,Centre — Val de Loire,1,M,ED0-2,educL,0,0.096,Y20-64,2
2008,2,FRB,Centre — Val de Loire,1,M,ED3_4,educM,1,,Y20-64,2
2008,2,FRB,Centre — Val de Loire,1,M,ED5-8,educH,2,,Y20-64,2
2008,2,FRB,Centre — Val de Loire,1,M,TOTAL,educALL,-1,0.043,Y20-64,2
2008,3,FRC,Bourgogne-Franche-Comté,0,F,ED0-2,educL,0,0.09699999999999999,Y20-64,3
2008,3,FRC,Bourgogne-Franche-Comté,0,F,ED3_4,educM,1,0.084,Y20-64,3
2008,3,FRC,Bourgogne-Franche-Comté,0,F,ED5-8,educH,2,,Y20-64,3
2008,3,FRC,Bourgogne-Franche-Comté,0,F,TOTAL,educALL,-1,0.07200000000000001,Y20-64,3
2008,3,FRC,Bourgogne-Franche-Comté,1,M,ED0-2,educL,0,0.102,Y20-64,3
2008,3,FRC,Bourgogne-Franche-Comté,1,M,ED3_4,educM,1,0.038,Y20-64,3
2008,3,FRC,Bourgogne-Franche-Comté,1,M,ED5-8,educH,2,,Y20-64,3
2008,3,FRC,Bourgogne-Franche-Comté,1,M,TOTAL,educALL,-1,0.054000000000000006,Y20-64,3
2008,4,FRD,Normandie,0,F,ED0-2,educL,0,0.127,Y20-64,4
2008,4,FRD,Normandie,0,F,ED3_4,educM,1,0.091,Y20-64,4
2008,4,FRD,Normandie,0,F,ED5-8,educH,2,,Y20-64,4
2008,4,FRD,Normandie,0,F,TOTAL,educALL,-1,0.085,Y20-64,4
2008,4,FRD,Normandie,1,M,ED0-2,educL,0,0.094,Y20-64,4
2008,4,FRD,Normandie,1,M,ED3_4,educM,1,0.040999999999999995,Y20-64,4
2008,4,FRD,Normandie,1,M,ED5-8,educH,2,,Y20-64,4
2008,4,FRD,Normandie,1,M,TOTAL,educALL,-1,0.057,Y20-64,4
2008,5,FRE,Hauts-de-France,0,F,ED0-2,educL,0,0.138,Y20-64,5
2008,5,FRE,Hauts-de-France,0,F,ED3_4,educM,1,0.095,Y20-64,5
2008,5,FRE,Hauts-de-France,0,F,ED5-8,educH,2,0.055999999999999994,Y20-64,5
2008,5,FRE,Hauts-de-France,0,F,TOTAL,educALL,-1,0.095,Y20-64,5
2008,5,FRE,Hauts-de-France,1,M,ED0-2,educL,0,0.159,Y20-64,5
2008,5,FRE,Hauts-de-France,1,M,ED3_4,educM,1,0.07200000000000001,Y20-64,5
2008,5,FRE,Hauts-de-France,1,M,ED5-8,educH,2,0.031,Y20-64,5
2008,5,FRE,Hauts-de-France,1,M,TOTAL,educALL,-1,0.087,Y20-64,5
2008,6,FRF,Grand Est,0,F,ED0-2,educL,0,0.126,Y20-64,6
2008,6,FRF,Grand Est,0,F,ED3_4,educM,1,0.085,Y20-64,6
2008,6,FRF,Grand Est,0,F,ED5-8,educH,2,0.032,Y20-64,6
2008,6,FRF,Grand Est,0,F,TOTAL,educALL,-1,0.079,Y20-64,6
2008,6,FRF,Grand Est,1,M,ED0-2,educL,0,0.098,Y20-64,6
