hh,year,status,tudef,joint_dispy_abs_diff,clean_joint_dispy,stored_joint_dispy,ils_ben_max_abs,ils_tax_max_abs,ils_origy_max_abs,ils_sicdy_max_abs,localised_to
100000058900,2015,PASS,0,0.0,3443.8599476722525,3443.8599476722525,0.0,0.0,0.0,0.0,
100000059400,2015,FAIL,0,121.99074763596946,3406.942938039354,3528.9336856753234,0.0,238.89042080451236,0.0,0.0,ils_tax
100000061300,2015,PASS,0,0.0,6989.865835925928,6989.865835925928,0.0,0.0,0.0,0.0,
100000061600,2015,FAIL,0,129.3499999999999,3898.8947414548843,4028.244741454884,130.0,0.6500000000000057,0.0,0.0,ils_ben
100000062300,2015,PASS,0,0.0,4167.220407167673,4167.220407167673,0.0,0.0,0.0,0.0,
100000063500,2015,FAIL,0,709.7119416666665,3852.9402176586673,4562.652159325334,463.05999999999995,2.3152999999999793,0.0,0.0,ils_ben
100000063800,2015,FAIL,0,801.0727679514121,4615.2109358905245,5416.283703841937,463.0599999999999,171.13806795141215,0.0,0.0,ils_ben
100000063900,2015,FAIL,0,61.745443105504364,3171.144311210386,3109.398868104882,0.0,61.745443105504364,0.0,0.0,ils_tax
100000064600,2015,FAIL,0,579.9097271160176,3846.0544057820493,4425.964132898067,463.05999999999995,116.84972711601705,0.0,0.0,ils_ben
100000065500,2015,PASS,0,0.0,8347.999281428509,8347.999281428509,0.0,0.0,0.0,0.0,
100000065900,2015,FAIL,0,129.3499999999999,2857.4498458230332,2986.799845823033,130.0,0.6499999999999773,0.0,0.0,ils_ben
100000067700,2015,FAIL,0,268.3106960837549,4152.783609110569,4421.094305194324,194.99,74.2956460837546,0.0,0.0,ils_ben
100000067900,2015,PASS,0,0.0,3489.059586641323,3489.059586641323,0.0,0.0,0.0,0.0,
100000068100,2015,FAIL,0,112.42638312589429,1591.633713230154,1479.2073301042597,112.99133982501948,0.5649566991250907,0.0,0.0,ils_ben
100000068300,2015,FAIL,0,691.028246534529,4944.874932384926,5635.903178919455,333.08,190.42364653452836,0.0,0.0,ils_ben
100000068400,2015,PASS,0,0.0,4670.507434933455,4670.507434933455,0.0,0.0,0.0,0.0,
100000068500,2015,FAIL,0,129.34999999999945,4344.7054598532,4474.0554598532,130.0,0.6500000000000341,0.0,0.0,ils_ben
100000069000,2015,FAIL,0,965.8280333333332,8558.51724078788,9524.345274121213,463.05999999999995,505.08333333333326,0.0,0.0,ils_tax
100000070200,2015,FAIL,0,352.12530552796034,2372.523960771825,2724.6492662997853,261.51488136226465,0.455328764651739,0.0,0.0,ils_ben
100000070500,2015,FAIL,0,185.78622043325413,6064.582471149466,6250.36869158272,130.0,55.78622043325396,0.0,0.0,ils_ben
100000071100,2015,FAIL,0,945.9487583333339,4122.530884077612,5068.479642410946,796.1800000000001,3.9808999999999912,0.0,0.0,ils_ben
100000071300,2015,FAIL,0,129.34999999999945,4361.66639998035,4491.01639998035,130.0,0.6499999999999773,0.0,0.0,ils_ben
100000071700,2015,FAIL,0,1160.7210141919622,13040.62513501914,14201.346149211102,564.6400000000001,598.9042141919613,0.0,0.0,ils_tax
100000072400,2015,PASS,0,0.0,3854.038364853268,3854.038364853268,0.0,0.0,0.0,0.0,
100000072700,2015,FAIL,0,515.6530503191716,5982.527015845517,6498.1800661646885,185.54,184.4152003191706,0.0,0.0,ils_ben
100000072800,2015,FAIL,0,129.3499999999999,3770.634788528136,3899.984788528136,130.0,0.6500000000000057,0.0,0.0,ils_ben
100000073500,2015,FAIL,0,1086.3606103647144,8095.776967934886,9182.1375782996,499.6500000000001,420.018860364714,0.0,0.0,ils_ben
100000074000,2015,FAIL,0,340.23613200081263,3926.5758669302436,4266.811998931056,333.08000000000004,8.82153200081251,0.0,0.0,ils_ben
100000074600,2015,FAIL,0,146.80417681969266,3791.3255300341816,3644.521353214489,130.0,146.88286173104413,0.0,0.0,ils_tax
100000075500,2015,FAIL,0,557.589708333333,3842.1924952871996,4399.7822036205325,499.6500000000001,2.4982499999999845,0.0,0.0,ils_ben
100000076400,2015,FAIL,0,917.3926325633329,3777.7598310194335,4695.152463582766,528.0499999999997,2.640250000000009,0.0,0.0,ils_ben
100000076500,2015,FAIL,0,193.37499017376922,5375.2245989797775,5181.849608806008,130.0,185.45976969545802,0.0,0.0,ils_tax
100000076700,2015,PASS,0,0.0,4470.500824613675,4470.500824613675,0.0,0.0,0.0,0.0,
100000077300,2015,FAIL,0,441.7586011530593,5381.596615970334,5823.355217123393,194.99,247.7435511530594,0.0,0.0,ils_tax
100000077700,2015,FAIL,0,311.23908248707176,4714.60042687419,5025.839509361262,463.05999999999995,149.5056175129282,0.0,0.0,ils_ben
100000077900,2015,FAIL,0,273.742826380952,2938.2702058311693,2664.5273794502173,191.54,82.2028263809519,0.0,0.0,ils_ben
100000078900,2015,FAIL,0,127.4931539011186,4035.9445108000937,4163.437664701212,333.08,18.381446098881412,0.0,0.0,ils_ben
100000079000,2015,FAIL,0,69.44348147464461,2501.712837953256,2571.1563194279006,0.0,69.44348147464513,0.0,0.0,ils_tax
100000079500,2015,PASS,0,0.0,4735.2024370925365,4735.2024370925365,0.0,0.0,0.0,0.0,
100000079800,2015,FAIL,0,766.6778000000004,3956.2625169106195,4722.94031691062,499.6500000000001,2.4982499999999987,0.0,0.0,ils_ben
100000080800,2015,PASS,0,0.0,4090.081808391913,4090.081808391913,0.0,0.0,0.0,0.0,
100000081600,2015,FAIL,0,692.9389151323758,7206.140759965223,7899.079675097599,333.08,192.33431513237684,0.0,0.0,ils_ben
100000082000,2015,FAIL,0,254.35000000000036,5776.864415731063,6031.214415731063,130.0,125.0,0.0,0.0,ils_ben
100000082400,2015,FAIL,0,254.35000000000036,7971.154845135688,8225.504845135689,130.0,125.00000000000023,0.0,0.0,ils_ben
100000082600,2015,FAIL,0,146.9072019629948,5746.452972174435,5893.36017413743,499.6500000000001,210.8861740531333,0.0,0.0,ils_ben
100000083600,2015,FAIL,0,705.0918250000004,4632.616274759066,5337.7080997590665,708.635,3.5431750000000193,0.0,0.0,ils_ben
100000083700,2015,FAIL,0,186.58531947299298,2216.5555332836734,2403.1408527566664,196.235,0.9811750000000004,0.0,0.0,ils_ben
100000083900,2015,FAIL,0,758.6866708333328,6391.26574902139,7149.952419854722,499.6500000000001,2.4982499999999845,0.0,0.0,ils_ben
100000084400,2015,PASS,0,0.0,4126.863280765843,4126.863280765843,0.0,0.0,0.0,0.0,
100000084500,2015,FAIL,0,299.98742567435056,3324.7584071475203,3624.745832821871,194.99,105.97237567435084,0.0,0.0,ils_ben
100000086200,2015,FAIL,0,145.792823886135,3244.155313619968,3389.948137506103,0.0,145.7928238861346,0.0,0.0,ils_tax
100000086300,2015,FAIL,0,366.5027267825035,3991.973221966,4358.4759487485035,333.08,1.665399999999977,0.0,0.0,ils_ben
100000086400,2015,PASS,0,0.0,3119.9297805312403,3119.9297805312403,0.0,0.0,0.0,0.0,
100000086500,2015,FAIL,0,308.23606876998383,3155.581696935386,3463.8177657053698,194.99,114.22101876998408,0.0,0.0,ils_ben
100000087000,2015,FAIL,0,212.73165402363156,5432.60111402856,5219.869460004928,130.0,368.64061721320456,0.0,0.0,ils_tax
100000088000,2015,FAIL,0,254.35000000000036,8214.0840921627,8468.4340921627,130.0,125.0,0.0,0.0,ils_ben
100000088100,2015,FAIL,0,162.7845319491562,3499.601802726934,3662.38633467609,0.0,256.2112275811061,0.0,0.0,ils_tax
100000088400,2015,FAIL,0,203.8545492420203,3498.0245433841533,3294.169994142133,253.72,1.2685999999999993,0.0,0.0,ils_ben
